環境緊急事態 かんきょうきんきゅうじたい 自然などの環境に影響を与える恐れのある緊急事態または事故の事。
土砂崩れ どしゃくずれ 急傾斜地にある土砂が地震や豪雨などによって急激にくずれ落ちる事。
防災行動 ぼうさいこうどう 災害による身体的被害を防ぐ為にとられる行動の事。
避難指示 ひなんしじ 災害で人的被害が発生する恐れがある時に行政機関が地域の住民等に対して安全な場所へ移動するよう強く要請する事。
高潮警報 たかしおけいほう 台風等による異常な海面の上昇により重大な災害が発生するおそれがあると予想したときに発表される警報の事。
富岳 ふがく 理化学研究所と富士通が京(けい)の後継機として設計したスーパーコンピューターの事。
スーパーコンピューター すーぱーこんぴゅーたー 一般のコンピューターに比べて超高速の演算が出来る超大型の科学計算用コンピューター。
TOP500 とっぷごひゃく スーパーコンピューターの計算速度を競って上位500位までの順位を発表するプロジェクト。
京 けい 日本の国家プロジェクトの一環として理化学研究所と富士通により共同開発されたスーパーコンピューター。
理化学研究所 りかがくけんきゅうじょ 物理、化学の研究及びその応用を目的に設立された機関。
人工知能 じんこうちのう 言語の理解や推論、問題解決などの知的行動を人間に代わってコンピューターに行わせる技術の事。
CPU しーぴーゆー 中央演算装置ともいわれる電子機器の中核部品の一つでプログラムに従ってデータの処理を行う。
ビッグデータ びっぐでーた インターネットの普及やコンピューターの処理速度の向上などに伴い生成される大容量のデジタルデータを指す。
富士通 ふじつう コンピューターや電気通信機器などの製造・販売やインターネット事業を行う大手通信機器メーカーの事。
HPC えいちぴーしー ハイパフォーマンスコンピューティングの略称で単位時間当たりの計算量が非常に多い計算処理の事。
棋聖 きせい  囲碁・将棋で、技量の特にすぐれた人で棋聖位に達した人に与えられる称号。
二冠 にかん 将棋では称号が付くタイトルの中で2種類保持している状態の事。
八段 はちだん 将棋の段位における上位から数えて2つ目の称号の事。
樹立 じゅりつ 記録などを正式に打ち立てる事。
王位 おうい 将棋では将棋の棋戦でタイトル戦のひとつ。最後に行われる「七番勝負」の勝者は王位のタイトル称号を得る。
空前絶後 くうぜんぜつご 過去にも例がなく将来もありえないと思われる事。極めて珍しい事を表す。
棋士 きし 囲碁、将棋の棋戦などで対局する事を主な職業とする人の事。
タイトル戦 たいとるせん 将棋において公式戦の中でも特に格式が高く、称号（タイトル）の座を競って行われる棋戦の事。
王将 おうしょう 将棋ではタイトル戦のひとつでその名の通り駒の「王将」から命名された。
8 はち タイトル戦の種類として竜王戦、名人戦、王位戦、王座戦、棋王戦、王将戦、棋聖戦、叡王(えいおう)戦がある。
接触感染 せっしょくかんせん 感染経路の一種で、ウイルスの付着した手、口等の皮膚や粘膜、または手摺、/ドアノブなどの物体表面を介して他人に病原体が付着した結果に感染が成立する。
飛沫感染 ひまつかんせん 感染経路の一種で、感染者の咳、くしゃみ等によって飛散するウイルスを含んだ体液の粒子(飛沫)が他人の粘膜に付着することで成立する。
エアロゾル感染 えあろぞるかんせん エアロゾル(小さな粒子)はくしゃみ等によって発生する飛沫とは異なり/密閉された高密度、高濃度の空間に晒された場合に起こるとされている。
ロックダウン ろっくだうん 緊急事態により建物や地域への出入りが自由にできない状態のこと。
オーバーシュート おーばーしゅーと 疫学の分野において水準や予想値を超える爆発的な感染拡大を指す。
パンデミック ぱんでみっく 爆発的感染を意味する用語で、感染症による世界的流行や大量の患者を発生させた/場合に呼称される。
インフォデミック いんふぉでみっく 誤った情報が拡散されて間違ったまま人に伝播していく事で混乱が生じる現象。
濃厚接触 のうこうせっしょく 感染者と衣食住などの生活空間を共にする事を指す。
スーパースプレッダー すーぱーすぷれっだー 感染者(単体)から平均より多くの他人に感染させる(二次感染)個体を指す。
３密 さんみつ 「密集」、「密接」、「密閉」の総称であり、これに該当する空間は/感染のリスクが高いとされる。
密集 みっしゅう 隙もないほどぎっしりと集まった状態になる事。
密閉 みっぺい 隙間のないようにぴったりと閉じる事。
ワクチン わくちん 感染症の予防に用いる医薬品。病原体から作られた無毒化、もしくは弱毒化された抗体を投与して/免疫を獲得する。
豪雨 ごうう 各地域の警報基準を超える量の雨が降る事。
激流 げきりゅう 川などの勢いの激しい流れの事。
冠水 かんすい 畑や道路が大雨などによって水に浸かる事。「浸水」とは対象物が建築物かどうかで/言い方が変わる。
暴風 ぼうふう 強く激しい勢いの災害をもたらす規模の風。
落雷 らくらい 帯電した積乱雲などと地上物の間に起こる放電の事。
熱帯低気圧 ねったいていきあつ 熱帯から亜熱帯の海洋上で発生する低気圧の総称。強風や大雨、高潮を伴うため、/しばしば甚大な気象災害をもたらす事がある。
亜熱帯低気圧 あねったいていきあつ 熱帯低気圧と温帯低気圧の中間的な性質をもった低気圧の事。
温暖高気圧 おんだんこうきあつ 地上付近において、周囲よりも相対的に温暖な空気で構成される高気圧の事。
土砂災害 どしゃさいがい 豪雨などの原因で山などの斜面地表が崩れたり地滑りを起こすといった災害のこと。
避難 ひなん 災害を避けて安全な場所に逃げる事。
水没 すいぼつ 地上にあった物が水中に没する事。
洪水 こうずい 大雨や雪解け水などによって河川の水量が著しく増加する事。
液状化 えきじょうか  地震などの振動によって地盤が液体のような状態になる事。
積乱雲 せきらんうん 垂直に高く盛り上がり、大きな塔のように見える雲の事。雷雨を伴うことが多く、ときには雹 (ひょう) を降らせる。
大雨特別警報 おおあめとくべつけいほう 特別警報の形式の一つで、台風や集中豪雨によって大雨が予想される時か/強度の台風や同程度の温帯低気圧により大雨になると予想される時に発表される。
天気予報 てんきよほう ある地域の天気の変化を予測して知らせる事。
停電 ていでん 送電が一時的に止まる事。またその結果電灯が消えることなどにも使われる。
最上川 もがみがわ 山形県を流れる一級河川。
避難命令 ひなんめいれい 地震、津波、台風などの自然災害や原子力災害等で対象の地域に重大な危険が/迫っている場合に発令する命令の事。
避難勧告 ひなんかんこく 災害によって人的被害が発生するおそれがある場合に行政機関が地域の住民等に/対して安全な場所へ移動するよう促す事。
国土交通省 こくどこうつうしょう 国の行政機関の一つで国土の利用、開発及び保全や交通政策の推進などを行う。
河川事務所 かせんじむしょ 河川の環境保護、管理を目的とした施設。
大石田町 おおいしだまち 山形県の最上川流域に位置する町。
流域 りゅういき 河川の流れに沿う地域。
浸水被害 しんすいひがい 豪雨や川の氾濫などで地域の推移が上がった結果、住宅などの建物に水が浸る事。
温暖前線 おんだんぜんせん 暖気団が優勢で寒気団に乗り上げて押して進むとき、二つの気団の境界と地表との/間にできる前線の事。進行前面では広く雨が降る。
雷雨 らいう 落雷を伴う激しい雨の事。
前職 ぜんしょく 以前に従事していた職業、業務の事。
再選 さいせん 選挙において前回で選ばれた人を再び選出する事。また、再び選出される事。
選挙 せんきょ 組織や集団の中でその代表者や役員を投票などによって選出する事。
懸念 けねん 気にかかって不安に思う事。
ホリエモン新党 ほりえもんしんとう 2020年に発足された立花孝志氏による政治団体。/なお、「ホリエモン」こと堀江貴文氏は関係を否定している。
実業家 じつぎょうか 商業・工業・金融業など、経済的事業を営む人の事。
掲示責任者 けいじせきにんしゃ 選挙ポスターを掲示する上での責任問題を管理する人の事。/選挙ポスターでは基本的に氏名が明記されている。
印刷責任者 いんさつしゃ 選挙ポスターを印刷する上での責任問題を管理する人の事。/選挙ポスターでは基本的に氏名が明記されている。
物議 ぶつぎ 世の人々の議論、世間の取り沙汰の事。
比例名簿 ひれいめいぼ 比例代表制選挙を行うにあたり各政党から提出される候補者名簿の事。
会見 かいけん 改まった形で人に会う事。公式的な場合に用いられる。
リンパック りんぱっく LINPACKと表記されるコンピューターの演算速度を比較する/ベンチマークソフトの一つ。TOP500の順位付けに採用されている。
スパコン すぱこん スーパーコンピューターの略。
開発 かいはつ 新しい技術や製品を実用化させる事。
研究 けんきゅう 物事を詳しく調べたり深く考えたりして事実や真理等を明らかにすること。
実績 じっせき 実際に現れた成績。
太陽電池 たいようでんち 太陽光のエネルギーを電気エネルギーに変換する装置。
医薬品 いやくひん 病気の診断、治療、予防に用いる薬。分類によって処方、使用などに制約がある。
成果 せいか ある事をして得られた良い結果の事。
注力 ちゅうりょく ある事に力を入れる事、力を尽くす事。
展望 てんぼう 社会の動きなどへの見通しの事。
2位じゃだめなんでしょうか にいじゃだめなんでしょうか 2009年に蓮舫氏が文部科学省予算仕分け(事業仕分け)の際にスパコン関連の/研究開発予算の妥当性を問うために発せられた言葉。
HPCG えいちぴーしーじー スーパーコンピューターの性能比較の基準の一つで実際のアプリでよく使われる/CG法のプログラムで性能を評価する。
HPL-AI えいちぴーえるえーあい スーパーコンピューターの性能比較の基準の一つで低精度演算での演算能力を評価し、/AI処理能力の評価を行う。
Graph500 ぐらふごひゃく スーパーコンピューターの性能比較の基準の一つで超大規模グラフの探索能力で/計算機を評価し、ビッグデータ分析などでの性能を示す。
